date,open,close,high,low,volume
2022-05-10,404.3632217222139,406.4977722167969,414.4244138122886,395.4048123739116,80100
2022-05-11,410.637231415779,394.0672912597656,418.6658008645667,391.175897621023,69300
2022-05-12,396.36864650846337,400.2516479492188,403.4334081430256,386.1406491010158,98100
2022-05-13,407.76125115725057,417.624755859375,419.35465396184304,406.9488068197876,59400
2022-05-16,417.031612386204,422.9966735839844,424.7512896735907,417.031612386204,54600
2022-05-17,425.1621955809306,432.1373901367188,434.4294975427066,421.25139302179866,58800
2022-05-18,432.1651117930368,418.3382873535156,432.1651117930368,413.9394024171613,70500
2022-05-19,419.66669788884377,419.03033447265625,424.91815964320057,411.34156774487417,80100
2022-05-20,419.5894224887144,423.917236328125,423.9357890307942,414.05992520964935,41100
2022-05-23,431.7574352278985,434.4881896972656,436.2644131784434,426.6079001960327,49500
2022-05-24,428.77336559995257,440.7127380371094,440.7127380371094,424.70192367276,51300
2022-05-25,444.8304799098634,459.2998352050781,460.9864626140839,444.8273972197956,66600
2022-05-26,458.8271670599064,471.690185546875,473.7104504046168,458.8271670599064,58800
2022-05-27,474.17693527008095,486.2306213378906,488.0779163277832,474.17693527008095,69000
2022-05-31,490.8549805687911,483.7500305175781,493.0204430502668,476.90153765189984,138900
2022-06-01,481.97688087934887,493.5888366699219,497.4934453257831,481.97688087934887,74400
2022-06-02,492.71152757793953,504.34814453125,511.24612978697655,491.47584972192567,87000
2022-06-03,503.1464502573623,518.3077392578125,520.2229661459689,490.5490538849793,71700
2022-06-06,518.1965731919238,519.515625,521.4401283755568,508.72230823476457,66300
2022-06-07,528.9571304292554,562.506591796875,565.653752318171,528.9571304292554,103800
2022-06-08,563.7210600521528,554.01220703125,565.4541012872393,549.2414775295995,84000
2022-06-09,545.2825746480729,553.880126953125,564.7131973931893,545.2825746480729,66300
2022-06-10,535.3320666011201,551.776611328125,559.1597607488878,534.4848924664723,95100
2022-06-13,538.4051302009871,516.529541015625,538.4051302009871,499.7435436249337,111000
2022-06-14,526.9341726107298,527.1016845703125,538.2278997055,518.9486887515501,89400
2022-06-15,531.2829911877996,523.1331787109375,542.5702915426813,521.2165229743509,64500
2022-06-16,513.6175020493246,499.9593200683594,513.6175020493246,496.3547458213111,103500
2022-06-17,505.7640799081443,469.0739135742188,505.7640799081443,468.693797044256,195900
2022-06-21,483.05740098704246,496.8991394042969,499.2957992548476,481.1761648586888,97200
2022-06-22,477.52974418728405,469.3445129394531,485.5925560259751,466.0104936180195,81300
2022-06-23,475.8449778423723,469.6988220214844,475.8449778423723,445.2107835458701,118800
2022-06-24,479.3239654750363,489.6191101074219,498.0072724252641,479.3239654750363,176400
2022-06-27,497.36305610369584,495.6364440917969,497.36305610369584,487.3835595429329,58500
2022-06-28,505.6030366486482,525.948486328125,528.4900676217776,505.6030366486482,104400
2022-06-29,527.1758045387016,485.0545654296875,527.1758045387016,482.8351202831674,69600
2022-06-30,475.92874004961857,479.3303833007813,481.69159434316,470.9486798295416,69300
2022-07-01,484.0237459635244,491.8771667480469,494.7859765553239,474.3373963290133,68400
2022-07-05,477.11095604419023,472.99420166015625,479.1403577923583,459.9255244498768,119100
2022-07-06,468.0495327885681,465.6400146484375,471.8602826658903,447.6363706743702,115800
2022-07-07,481.9170275760063,493.5747985839844,508.2927595493683,481.9170275760063,88500
2022-07-08,496.444935261321,496.8314514160156,503.42540639815047,486.9357708044869,44400
2022-07-11,490.5983460315766,498.3294067382813,498.7159229091869,485.5957249759868,49500
2022-07-12,486.913234657457,498.8093566894531,504.649508146295,486.913234657457,105300
2022-07-13,490.5983443035881,515.1991577148438,524.1316743863114,490.5983443035881,77400
2022-07-14,499.295753488561,531.5083618164062,531.5083618164062,495.01470230680974,99000
2022-07-15,531.5084144122766,536.8782348632812,537.0747665168703,517.9791093181459,80700
2022-07-18,544.3934268659293,545.2213134765625,563.1669767119394,539.0075042329323,81600
2022-07-19,545.4951465520094,558.95361328125,561.1988046302082,545.4951465520094,71400
2022-07-20,554.3858242267859,583.6735229492188,585.8414463689822,546.799714292549,142500
2022-07-21,563.7210034795444,565.1190795898438,576.8734650923074,552.4466223387909,100200
2022-07-22,562.941520052091,554.0572509765625,579.3377576115342,547.8144806414635,56400
2022-07-25,565.8180619842213,570.1409912109375,577.4371397478051,565.8180619842213,82800
2022-07-26,578.1522995447151,571.2459106445312,580.0753841857344,563.9400882641308,83400
2022-07-27,579.8272826461089,589.1431884765625,589.1431884765625,573.0626310152376,83400
2022-07-28,590.5090782211712,589.6489868164062,592.7123915132431,568.8041861911056,80700
2022-07-29,598.2529028723081,590.7312622070312,607.5430333045821,589.0207528102759,116400
2022-08-01,585.9476840183473,586.894775390625,594.0008803453422,573.7906806715114,90900
2022-08-02,583.0550711212597,587.0010986328125,594.1265504725927,577.6755186602924,67800
2022-08-03,593.3759944349999,569.9735107421875,593.3759944349999,558.2223102206735,65700
2022-08-04,569.1971661737155,528.7864379882812,578.0975369839592,528.7864379882812,137700
2022-08-05,530.2134036042968,533.7052612304688,544.11642457996,528.9216740386955,88200
2022-08-08,528.9958937406924,551.1388549804688,557.4557084026692,528.9958937406924,105000
2022-08-09,557.9227333720634,551.1580810546875,557.9227333720634,541.5651897008112,43800
2022-08-10,556.9144532785278,557.3590087890625,562.1039030500367,554.3986477603063,40800
2022-08-11,567.953782249748,561.9815673828125,575.7621407253439,558.9858162140407,57600
2022-08-12,556.6342637586316,540.0254516601562,556.6342637586316,523.487478251567,143400
2022-08-15,524.035139959988,543.5238037109375,550.987465702764,524.035139959988,93300
2022-08-16,538.4663019685273,534.3591918945312,550.5138327166603,518.864925675867,75900
2022-08-17,535.7605245273398,555.6679077148438,555.9095024573285,535.7605245273398,60000
2022-08-18,555.6710823914395,576.747802734375,576.747802734375,555.6710823914395,95400
2022-08-19,571.4229985452628,554.269775390625,572.4183380064152,550.5652841196834,75300
2022-08-22,553.8961973478315,560.3386840820312,566.497757079961,550.6234027621051,67800
2022-08-23,564.2653917381089,570.9076538085938,583.1130234395016,564.2653917381089,87000
2022-08-24,577.0345651370476,584.4402465820312,587.7195297010917,571.7742757975658,83100
2022-08-25,587.0752374233696,575.48193359375,587.233076179573,568.5884025945837,99000
